"customer_message","support_response"
"When will my phone case be delivered?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"The item is defective, what do I do?","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"How many days for delivery?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your bluetooth speaker. — Team NovaCart 💙"
"Order CK334053 came with a cracked item.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"Is there any fee for cash on delivery?","Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
"How to check tracking?","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"How long does delivery take?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your winter jacket. — Team NovaCart 💙"
"When will my order reach Mumbai?","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"I forgot my password.","Hi! No worries — tap 'Forgot Password', enter your registered email or mobile, and follow the reset link we send. Still stuck? I'm here to help. — Team NovaCart 💙"
"How many days for refund to credit?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"When will my bluetooth speaker be delivered?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"I entered the wrong address for order CK127824.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Can I do COD for an order worth ₹70000?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"How many days for delivery?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your wireless earbuds. — Team NovaCart 💙"
"It's been 10 days, can I still return this water bottle?","Hi! Unfortunately returns are only accepted within 7 days of delivery, so I can't process this one. If there's a quality or warranty issue, please share details and I'll look into options. — Team NovaCart 💙"
"It's been a few days, where's my package?","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"Where is my order?","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"Hey there","Hi! Thanks for reaching out to NovaCart. What can I help you with today? — Team NovaCart 💙"
"How do I track my wireless earbuds?","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"Do you accept cash on delivery?","Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
"I want a different color, can I exchange?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"Need to change where my saree is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"When will my water bottle be delivered?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"Refund status for order CK629903?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"Is same-day delivery available?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your phone case. — Team NovaCart 💙"
"How many days do I have to return something?","Hi! Our return window is 7 days from delivery. To return your bedsheet set:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"I returned my bluetooth speaker, where's my money?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"Is COD available?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"When will my order reach Hyderabad?","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"I entered the wrong address for order CK719176.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Do you have cash on delivery option?","Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
"I want to cancel order CK267414.","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"I entered the wrong address for order CK835392.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"I want to return order CK688508.","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"Refund status for order CK872246?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"Cancel my recent order please.","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"Refund status for order CK832052?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"Does COD have a maximum amount?","Hi! Cash on Delivery is available for orders up to ₹50,000. Just choose 'Cash on Delivery' at checkout — note a ₹40 handling fee is added. — Team NovaCart 💙"
"It's been 10 days, can I still return this wireless earbuds?","Hi! Cash on Delivery is available only up to ₹50,000 per order, so this amount isn't eligible for COD. You can use UPI, cards, or net banking instead — all secure and quick. — Team NovaCart 💙"
"I returned my phone case, where's my money?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"Order status please for CK456778.","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"When does the refund hit my account?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"How long does delivery take?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your coffee mug. — Team NovaCart 💙"
"Do I have to pay for shipping on a ₹350 order?","Hi! You get free shipping when your order total is above ₹499. Below ₹499, a nominal delivery charge is added. — Team NovaCart 💙"
"Order CK944962 came with a cracked item.","Hi! So sorry about the damaged yoga mat. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I want to return my order after 15 days.","Hi! Cash on Delivery is available only up to ₹50,000 per order, so this amount isn't eligible for COD. You can use UPI, cards, or net banking instead — all secure and quick. — Team NovaCart 💙"
"Can I get a refund 20 days after delivery?","Hi! Unfortunately returns are only accepted within 7 days of delivery, so I can't process this one. If there's a quality or warranty issue, please share details and I'll look into options. — Team NovaCart 💙"
"Steps to return a product?","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"What's the delivery time to Mumbai?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"When will my order reach Kolkata?","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"Can I cancel my table lamp before it ships?","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"Can I exchange my headphones for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"I entered the wrong address for order CK944962.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"I received a damaged product.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"How long is the return window?","Hi! Our return window is 7 days from delivery. To return your power bank:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"Order status please for CK452944.","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"Is same-day delivery available?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your table lamp. — Team NovaCart 💙"
"Do I have to pay for shipping on a ₹350 order?","Hi! Shipping is free on all orders over ₹499. For orders below that, a small delivery fee applies at checkout. — Team NovaCart 💙"
"I entered the wrong address for order CK198246.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Received a faulty yoga mat, please help.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"Do you offer free shipping?","Hi! You get free shipping when your order total is above ₹499. Below ₹499, a nominal delivery charge is added. — Team NovaCart 💙"
"My order CK356787 hasn't arrived yet.","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"How to check tracking?","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"I entered the wrong address for order CK452944.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Can I exchange my coffee mug for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"Can I use COD for my bluetooth speaker order?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"My saree arrived broken.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"Is return free?","Hi! Our return window is 7 days from delivery. To return your cotton kurta:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"Where do I start a return?","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"Do I have to pay for shipping on a ₹450 order?","Hi! Orders over ₹499 ship free. Add a little more to cross ₹499 and your delivery is on us! — Team NovaCart 💙"
"It's been 10 days, can I still return this headphones?","Hi! I'm sorry, but our return window is 7 days from delivery, so this order is outside it. If the item is defective or under warranty, I'd be glad to help with that instead. — Team NovaCart 💙"
"How many days do I have to return something?","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"Can I do COD for an order worth ₹75000?","Hi! Cash on Delivery is available for orders up to ₹50,000. Just choose 'Cash on Delivery' at checkout — note a ₹40 handling fee is added. — Team NovaCart 💙"
"The item is defective, what do I do?","Hi! So sorry about the damaged wall clock. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I want to return my cotton kurta.","Hi! Our return window is 7 days from delivery. To return your winter jacket:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"I returned my running shoes, where's my money?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"I changed my mind, how do I send the yoga mat back?","Hi! Our return window is 7 days from delivery. To return your running shoes:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"Need to change where my yoga mat is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Need to change where my coffee mug is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Can I return this item?","Hi! Our return window is 7 days from delivery. To return your table lamp:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"I want to return order CK356787.","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"Do you have cash on delivery option?","Hi! Cash on Delivery is available for orders up to ₹50,000. Just choose 'Cash on Delivery' at checkout — note a ₹40 handling fee is added. — Team NovaCart 💙"
"How do I return my order?","Hi! Our return window is 7 days from delivery. To return your backpack:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"My order CK391369 hasn't arrived yet.","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"Can I return this item?","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"What's the delivery time to Jaipur?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your headphones. — Team NovaCart 💙"
"Can I change my delivery address?","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Can I cancel my wireless earbuds before it ships?","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"Do you accept cash on delivery?","Hi! Cash on Delivery is available for orders up to ₹50,000. Just choose 'Cash on Delivery' at checkout — note a ₹40 handling fee is added. — Team NovaCart 💙"
"How do I cancel my order?","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"Is return free?","Hi! Our return window is 7 days from delivery. To return your winter jacket:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"Refund status for order CK877572?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"My order CK809570 hasn't arrived yet.","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"How many days for delivery?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your cotton kurta. — Team NovaCart 💙"
"When will my bedsheet set be delivered?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"How do exchanges work?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"How long does delivery take?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your water bottle. — Team NovaCart 💙"
"I want to return order CK106814.","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"How long is the return window?","Hi! Our return window is 7 days from delivery. To return your cotton kurta:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"Hi","Hi! Welcome to NovaCart support. How can I help you today — orders, returns, payments, or something else? — Team NovaCart 💙"
"Can I cancel my phone case before it ships?","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"What payment methods do you accept?","Hi! You can pay via UPI, cards, net banking, wallets, or COD. All options appear at the payment step — choose whatever's easiest for you. — Team NovaCart 💙"
"My bedsheet set arrived broken.","Hi! So sorry about the damaged bluetooth speaker. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"What's the delivery time to Delhi?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your sneakers. — Team NovaCart 💙"
"How do I track my wristwatch?","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"How do I track my coffee mug?","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"Can I use COD for my winter jacket order?","Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
"I'd like to pay on delivery, is that possible?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"Received a faulty kitchen mixer, please help.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"When will my backpack be delivered?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"When will my kitchen mixer be delivered?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your cotton kurta. — Team NovaCart 💙"
"How many days do I have to return something?","Hi! Our return window is 7 days from delivery. To return your sunglasses:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"I changed my mind, how do I send the phone case back?","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"Order CK207473 came with a cracked item.","Hi! So sorry about the damaged bedsheet set. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I want to cancel order CK872246.","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"How do I return my order?","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"Can I cancel my yoga mat before it ships?","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"Do you have cash on delivery option?","Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
"I want to return order CK948749.","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"What is your return policy?","Hi! Our return window is 7 days from delivery. To return your phone case:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"How do I track my power bank?","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"Received a faulty bluetooth speaker, please help.","Hi! So sorry about the damaged running shoes. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"Can I pay cash when my order arrives?","Hi! Cash on Delivery is available for orders up to ₹50,000. Just choose 'Cash on Delivery' at checkout — note a ₹40 handling fee is added. — Team NovaCart 💙"
"The product I got is not working.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"Can I pay cash when my order arrives?","Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
"What's the delivery time to Chennai?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"My order CK543143 hasn't arrived yet.","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"My running shoes arrived broken.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"Cancel my recent order please.","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"Can I cancel my headphones before it ships?","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"I want to return order CK809570.","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"Is wallet payment available?","Hi! We accept credit/debit cards, UPI, popular wallets, net banking, and Cash on Delivery (up to ₹50,000, ₹40 fee). Pick your preferred option at checkout. — Team NovaCart 💙"
"How long is the return window?","Hi! Our return window is 7 days from delivery. To return your yoga mat:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"Order CK731262 came with a cracked item.","Hi! So sorry about the damaged wireless earbuds. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"How long does delivery take?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your headphones. — Team NovaCart 💙"
"Can I exchange my backpack for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"Can I cancel my winter jacket before it ships?","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"What is your return policy?","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"Is return free?","Hi! Our return window is 7 days from delivery. To return your bluetooth speaker:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"Need to change where my sunglasses is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"I entered the wrong address for order CK832052.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Need to change where my table lamp is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Where do I start a return?","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"The product I got is not working.","Hi! So sorry about the damaged power bank. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"Where do I start a return?","Hi! Our return window is 7 days from delivery. To return your phone case:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"When will I get my refund?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"My sneakers arrived broken.","Hi! So sorry about the damaged winter jacket. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I want to cancel order CK900581.","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"The product I got is not working.","Hi! So sorry about the damaged water bottle. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"Is same-day delivery available?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your power bank. — Team NovaCart 💙"
"Does COD have a maximum amount?","Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
"When is shipping free?","Hi! You get free shipping when your order total is above ₹499. Below ₹499, a nominal delivery charge is added. — Team NovaCart 💙"
"I want to cancel order CK106814.","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"When will my order reach Chennai?","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"Is return free?","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"My table lamp arrived broken.","Hi! So sorry about the damaged water bottle. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
