customer_query,support_response
"It's been 10 days, can I still return this wireless earbuds?","Hi! Cash on Delivery is available only up to ₹50,000 per order, so this amount isn't eligible for COD. You can use UPI, cards, or net banking instead — all secure and quick. — Team NovaCart 💙"
"I returned my phone case, where's my money?",Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙
Order status please for CK456778.,"Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
When does the refund hit my account?,Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙
Do I have to pay for shipping on a ₹350 order?,"Hi! You get free shipping when your order total is above ₹499. Below ₹499, a nominal delivery charge is added. — Team NovaCart 💙"
Order CK944962 came with a cracked item.,"Hi! So sorry about the damaged yoga mat. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
What's the delivery time to Mumbai?,"Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
When will my order reach Kolkata?,"Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
Can I cancel my table lamp before it ships?,"Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
Can I exchange my headphones for a different size?,"Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
I entered the wrong address for order CK944962.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
How long is the return window?,"Hi! Our return window is 7 days from delivery. To return your power bank:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
Order status please for CK452944.,"Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
I entered the wrong address for order CK198246.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Received a faulty yoga mat, please help.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
Do you offer free shipping?,"Hi! You get free shipping when your order total is above ₹499. Below ₹499, a nominal delivery charge is added. — Team NovaCart 💙"
My order CK356787 hasn't arrived yet.,"Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
I entered the wrong address for order CK452944.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
Can I exchange my coffee mug for a different size?,"Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
Can I use COD for my bluetooth speaker order?,"Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
Is return free?,"Hi! Our return window is 7 days from delivery. To return your cotton kurta:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"It's been 10 days, can I still return this headphones?","Hi! I'm sorry, but our return window is 7 days from delivery, so this order is outside it. If the item is defective or under warranty, I'd be glad to help with that instead. — Team NovaCart 💙"
"I returned my running shoes, where's my money?",Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙
"I changed my mind, how do I send the yoga mat back?","Hi! Our return window is 7 days from delivery. To return your running shoes:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
Need to change where my yoga mat is delivered.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
Need to change where my coffee mug is delivered.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
I want to return order CK356787.,"Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
My order CK391369 hasn't arrived yet.,"Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
What's the delivery time to Jaipur?,Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your headphones. — Team NovaCart 💙
Can I change my delivery address?,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
Can I cancel my wireless earbuds before it ships?,"Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
How do I cancel my order?,"Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
Refund status for order CK877572?,Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙
My order CK809570 hasn't arrived yet.,"Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
When will my bedsheet set be delivered?,"Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
How do exchanges work?,"Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
I want to return order CK106814.,"Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
Can I cancel my phone case before it ships?,"Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
What payment methods do you accept?,"Hi! You can pay via UPI, cards, net banking, wallets, or COD. All options appear at the payment step — choose whatever's easiest for you. — Team NovaCart 💙"
My bedsheet set arrived broken.,"Hi! So sorry about the damaged bluetooth speaker. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
How do I track my wristwatch?,"Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
How do I track my coffee mug?,"Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
Can I use COD for my winter jacket order?,"Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
"Received a faulty kitchen mixer, please help.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
When will my kitchen mixer be delivered?,Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your cotton kurta. — Team NovaCart 💙
"I changed my mind, how do I send the phone case back?","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
Order CK207473 came with a cracked item.,"Hi! So sorry about the damaged bedsheet set. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
I want to return order CK948749.,"Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
What's the delivery time to Chennai?,"Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
My running shoes arrived broken.,"Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
Can I cancel my headphones before it ships?,"Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
I want to return order CK809570.,"Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
Order CK731262 came with a cracked item.,"Hi! So sorry about the damaged wireless earbuds. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
Can I exchange my backpack for a different size?,"Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
Can I cancel my winter jacket before it ships?,"Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
Need to change where my sunglasses is delivered.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
I entered the wrong address for order CK832052.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
Need to change where my table lamp is delivered.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
When will I get my refund?,"Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
My sneakers arrived broken.,"Hi! So sorry about the damaged winter jacket. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
I want to cancel order CK900581.,"Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
I want to cancel order CK106814.,"Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
My table lamp arrived broken.,"Hi! So sorry about the damaged water bottle. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
Can I exchange my table lamp for a different size?,"Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
Need to change where my phone case is delivered.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
How do I track my wall clock?,"Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
Is exchange available instead of return?,"Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
Is it possible to cancel an order?,"Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
Can I do COD for an order worth ₹60000?,"Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
What's the delivery time to Lucknow?,Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your bluetooth speaker. — Team NovaCart 💙
Refund status for order CK770487?,Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙
Where do I enter a promo code?,"Hi! To use a coupon:
1. Add items to your cart
2. At checkout, enter the code in 'Apply Coupon'
3. Tap 'Apply' to see the discount
If a valid code isn't working, reply with it and I'll check. — Team NovaCart 💙"
Refund status for order CK948749?,Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙
I entered the wrong address for order CK733052.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
I want to return my phone case.,"Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
I want to return my running shoes.,"Hi! Our return window is 7 days from delivery. To return your sunglasses:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
I entered the wrong address for order CK329258.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
I want to cancel order CK131244.,"Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
Can I cancel my coffee mug before it ships?,"Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"Received a faulty phone case, please help.","Hi! So sorry about the damaged wireless earbuds. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
I entered the wrong address for order CK133326.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
I want to return my wall clock.,"Hi! Our return window is 7 days from delivery. To return your sneakers:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"Received a faulty running shoes, please help.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
Can I exchange my kitchen mixer for a different size?,"Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
Refund status for order CK835392?,Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙
I want to return my table lamp.,"Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"Received a faulty winter jacket, please help.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
Order status please for CK191161.,"Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
I want to cancel order CK948749.,"Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
My wristwatch arrived broken.,"Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
How do I track my backpack?,"Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
Can I use COD for my running shoes order?,"Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
Need to change where my backpack is delivered.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
Can I cancel my sneakers before it ships?,"Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
I need some help,"Hi! Welcome to NovaCart support. How can I help you today — orders, returns, payments, or something else? — Team NovaCart 💙"
I entered the wrong address for order CK671412.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
My order CK671412 hasn't arrived yet.,"Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"Received a faulty saree, please help.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
I want to cancel order CK329258.,"Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
Can I use COD for my saree order?,"Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
Order status please for CK201414.,"Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"It's been 10 days, can I still return this saree?","Hi! Cash on Delivery is available only up to ₹50,000 per order, so this amount isn't eligible for COD. You can use UPI, cards, or net banking instead — all secure and quick. — Team NovaCart 💙"
Order CK476417 came with a cracked item.,"Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
I want to cancel order CK835392.,"Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
My discount code isn't working.,"Hi! To use a coupon:
1. Add items to your cart
2. At checkout, enter the code in 'Apply Coupon'
3. Tap 'Apply' to see the discount
If a valid code isn't working, reply with it and I'll check. — Team NovaCart 💙"
How do I track my winter jacket?,"Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"It's been 10 days, can I still return this wristwatch?","Hi! Cash on Delivery is available only up to ₹50,000 per order, so this amount isn't eligible for COD. You can use UPI, cards, or net banking instead — all secure and quick. — Team NovaCart 💙"
When will my wall clock be delivered?,Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your winter jacket. — Team NovaCart 💙
Need to change where my wall clock is delivered.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
My order CK126225 hasn't arrived yet.,"Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"I returned my bedsheet set, where's my money?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
My winter jacket arrived broken.,"Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
How do I track my sunglasses?,"Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
My order CK850800 hasn't arrived yet.,"Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
Refund status for order CK331148?,"Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
What's the delivery time to Hyderabad?,Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your power bank. — Team NovaCart 💙
Can I exchange my saree for a different size?,"Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"I changed my mind, how do I send the kitchen mixer back?","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
When will my saree be delivered?,Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your winter jacket. — Team NovaCart 💙
When will my table lamp be delivered?,Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your water bottle. — Team NovaCart 💙
Can I exchange my running shoes for a different size?,"Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
Do you take credit cards?,"Hi! We accept credit/debit cards, UPI, popular wallets, net banking, and Cash on Delivery (up to ₹50,000, ₹40 fee). Pick your preferred option at checkout. — Team NovaCart 💙"
When will my cotton kurta be delivered?,"Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"I changed my mind, how do I send the wristwatch back?","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
Can I exchange my wristwatch for a different size?,"Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
My order CK391704 hasn't arrived yet.,"Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
I entered the wrong address for order CK126225.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"I returned my yoga mat, where's my money?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
Refund status for order CK476417?,"Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"I changed my mind, how do I send the wireless earbuds back?","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
How do I apply a coupon?,"Hi! To use a coupon:
1. Add items to your cart
2. At checkout, enter the code in 'Apply Coupon'
3. Tap 'Apply' to see the discount
If a valid code isn't working, reply with it and I'll check. — Team NovaCart 💙"
Can I cancel my running shoes before it ships?,"Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
I can't log in to my account.,"Hi! Let's get you back in:
1. Tap 'Forgot Password' on the login screen
2. Enter your registered email or phone
3. Follow the reset link/OTP we send
If the OTP doesn't arrive in a minute, request it again or reply here. — Team NovaCart 💙"
I want to cancel order CK476417.,"Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
My kitchen mixer arrived broken.,"Hi! So sorry about the damaged bedsheet set. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
Refund status for order CK207175?,"Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
Order status please for CK948749.,"Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
Do I have to pay for shipping on a ₹299 order?,"Hi! Shipping is free on all orders over ₹499. For orders below that, a small delivery fee applies at checkout. — Team NovaCart 💙"
Can I exchange my sunglasses for a different size?,"Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
Order CK850800 came with a cracked item.,"Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
Do you have any offers?,"Hi! To use a coupon:
1. Add items to your cart
2. At checkout, enter the code in 'Apply Coupon'
3. Tap 'Apply' to see the discount
If a valid code isn't working, reply with it and I'll check. — Team NovaCart 💙"
Need to change where my kitchen mixer is delivered.,"Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
Can I use COD for my kitchen mixer order?,"Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
Order status please for CK571029.,"Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
Can I exchange my wall clock for a different size?,"Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
